AUT	BEL	CZE	DEU	DNK	ESP	EST	FIN	FRA	GRC	HUN	IRL	ITA	LTU	LUX	LVA	NLD	POL	PRT	SVK	SVN	SWE
3.803176565	4.227884072	3.913987017	4.112714643	3.853724939	4.093272115	4.069766475	3.802357782	3.781826032	4.217521184	4.07501534	4.141496362	4.233924805	3.928683302	3.896196378	4.227277908	3.948219908	4.0596435	4.013314029	4.081913672	4.073099198	3.742871697
3.80463543	4.251312575	3.982987115	4.156384913	3.963660652	4.080717888	4.028311556	3.927543095	3.861315774	4.203108362	4.065908928	4.132974155	4.168953698	3.925490075	3.963964753	4.124265976	3.956682611	4.098267185	4.018748433	4.066413672	4.040902929	3.847531791
3.74570474	3.988965423	3.815261299	3.941630351	3.837158175	4.075030588	4.028920655	3.93743134	3.903729342	4.231643205	4.074068579	4.155095351	4.265884314	3.89710093	3.802802575	4.104866267	3.926556837	4.055128065	3.928398425	4.125394452	3.987796499	3.855091811
3.967427149	4.018573162	3.843035164	4.060712266	3.900569054	4.188624572	4.035587664	3.991984121	3.974273181	4.299504281	4.157692255	4.280519933	4.339658906	3.951066551	3.852477444	4.140286495	3.984030714	4.033038782	3.991233608	4.267664091	4.037988752	3.932249183
3.76696875	3.760366518	3.690632365	3.784373578	3.733196799	3.861407923	3.896605933	3.820604146	3.795975846	4.209906936	3.820062133	3.881727015	3.975565478	3.762964844	3.686323465	3.979271701	3.790180583	3.81147931	3.868292028	3.831646409	3.770104428	3.748910019
3.419844643	3.523206594	3.351591465	3.459696691	3.502988351	3.619765167	3.791657773	3.654750354	3.630798849	4.05298031	3.584225414	3.652140678	3.850998304	3.592598543	3.346119433	3.881419142	3.619487872	3.661965536	3.786765802	3.591866571	3.455485427	3.601062286
3.560047341	3.529100162	3.551801697	3.56896381	3.636316713	3.751409338	3.80787081	3.696913481	3.661347466	4.084721291	3.718049832	3.806134246	3.83870348	3.666980605	3.544522138	3.882074415	3.690033439	3.660728553	3.909612281	3.747220598	3.614113083	3.601384207
3.559748782	3.530745259	3.559831767	3.541691235	3.591957216	3.649571778	3.763288965	3.70481278	3.622926646	4.144243387	3.615155408	3.708615694	3.835915548	3.680239056	3.553887725	3.823649141	3.712374195	3.641823536	3.94774353	3.645684902	3.569009029	3.475297437
3.438822008	3.2076288	3.410586804	3.298085908	3.466265243	3.61908172	3.732685734	3.730529639	3.360036182	4.170116383	3.591537727	3.687236822	3.709805796	3.694720015	3.409883296	3.77860973	3.72211016	3.536189882	3.995473487	3.596041001	3.474242503	3.141191278
3.608584958	3.533231525	3.590377031	3.548441884	3.619918104	3.877892604	3.823269265	3.852853483	3.764848978	4.091333094	3.860847544	3.975426192	3.854981887	3.790316054	3.601033256	3.861554114	3.805209397	3.625636418	3.981294918	3.948087323	3.677689637	3.484693332
3.544882678	3.408697339	3.5148209	3.427079659	3.612695589	3.942452458	3.681108433	3.850527696	3.818263965	4.125394031	3.914392169	4.036785344	3.794141724	3.801827766	3.514692127	3.806221249	3.808478292	3.569191448	4.068522773	4.03009465	3.639224411	3.537850844
3.546738077	3.411351779	3.483607655	3.491603414	3.552899475	3.951068878	3.617838525	3.844622583	3.822371783	4.061660515	3.905402723	3.986912731	3.724923999	3.781783874	3.479235452	3.83894973	3.807140731	3.54580402	3.959386508	4.035945791	3.706810682	3.469265254
3.57925003	3.52208272	3.530253723	3.573492359	3.637411473	3.94302617	3.732653104	3.820580296	3.772658664	4.099853851	3.898602918	4.011072924	3.656816508	3.743261497	3.530218815	3.869694627	3.7695507	3.579987697	3.910305044	3.980905801	3.669036151	3.557926548
3.662427971	3.687918986	3.625082218	3.75577858	3.703556548	3.711866618	3.625998731	3.778971603	3.75787356	3.97296034	3.694414802	3.753638869	3.892206324	3.693300186	3.625686974	3.780842242	3.732019266	3.69694039	3.864561854	3.683835039	3.67470842	3.645772341
3.540780259	3.484596411	3.374192316	3.519038278	3.507630076	3.609365592	3.407822103	3.619291923	3.57878094	4.044332623	3.573121404	3.684596227	3.760653298	3.551150302	3.375511507	3.676793017	3.581758951	3.558512272	3.743892616	3.65631567	3.596479396	3.491722803
3.60985791	3.535985333	3.439284781	3.567871463	3.216741775	3.863388714	3.608481777	3.386526006	3.236850145	4.035049911	3.810961709	3.945511732	3.714237252	3.315062535	3.460523591	3.764008573	3.358762128	3.543079876	3.742706333	3.886121939	3.73332862	3.10492535
3.286392025	3.232790701	2.969282195	3.193048463	2.853633355	3.617363707	3.466959263	3.289158649	3.131777602	3.866737499	3.548780831	3.654929076	3.468444263	3.210224144	2.983487967	3.573005007	3.255494192	3.310758573	3.671406953	3.619620016	3.361562001	2.789830787
3.118372638	3.070567719	3.004611956	3.095382139	2.901988004	3.322511739	3.216290705	3.133014894	2.947972645	3.734340831	3.249224824	3.358961353	3.471672637	3.064785275	3.030635536	3.364757822	3.096478342	3.131641582	3.553967622	3.307382272	3.181895297	2.50815347
2.837845089	2.58020001	2.757009701	2.516663955	2.71182345	3.104786314	2.765254897	3.124343686	2.921268473	3.30965707	3.049416205	3.20165224	3.277518034	3.034900945	2.789659069	3.115626458	3.065993086	2.865674877	3.442638598	3.160753388	2.91795194	2.129364574
2.793165833	2.630397149	2.766112463	2.620009019	2.807992357	2.992465378	2.962487834	3.17996781	2.901829862	3.496289195	2.97855617	3.135949538	3.11092579	3.090638331	2.806321801	2.989214581	3.110350236	2.786362556	3.591529395	3.12561156	2.853369118	2.432297887
